日期 ,时间 ,维度 ,经度 ,海拔 ,速度 ,卫星数量 ,方向
2017年10月05日,9小时35分53秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,7,347.2度
2017年10月05日,9小时35分54秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时35分55秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时35分56秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时35分57秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时35分58秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时35分59秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分0秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分1秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分2秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分3秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分4秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分5秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分6秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分7秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分8秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分9秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分10秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分11秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分12秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分13秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分14秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分15秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分16秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分17秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分18秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分19秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分20秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分21秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分22秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分23秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分24秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分25秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,8,347.2度
2017年10月05日,9小时36分26秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
2017年10月05日,9小时36分27秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,9,347.2度
